Cycle:           3, Read Miss , Address: 00000000, Read Data : xxxxxxxx
Cycle:          18, Write Hit , Address: 00000000, Write Data: ffeeeeff
Cycle:          19, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          22, Write Hit , Address: 00000004, Write Data: ffccccdd
Cycle:          23, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:          26, Write Hit , Address: 00000008, Write Data: ffaaaabb
Cycle:          27, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:          30, Write Hit , Address: 0000000c, Write Data: ff888899
Cycle:          31, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:          34, Write Hit , Address: 00000010, Write Data: 00666677
Cycle:          35, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:          38, Write Hit , Address: 00000014, Write Data: 00444455
Cycle:          39, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:          42, Write Hit , Address: 00000018, Write Data: 00222233
Cycle:          43, Read Hit  , Address: 0000001c, Read Data : 00001111
Cycle:          46, Write Hit , Address: 0000001c, Write Data: 00000011
Cycle:          47, Read Miss , Address: 00000020, Read Data : eeeeffff
Cycle:          62, Write Hit , Address: 00000020, Write Data: 00111100
Cycle:          63, Read Hit  , Address: 00000024, Read Data : 33332222
Cycle:          66, Write Hit , Address: 00000024, Write Data: 00333322
Cycle:          67, Read Hit  , Address: 00000028, Read Data : 55554444
Cycle:          70, Write Hit , Address: 00000028, Write Data: 00555544
Cycle:          71, Read Hit  , Address: 0000002c, Read Data : 77776666
Cycle:          74, Write Hit , Address: 0000002c, Write Data: 00777766
Cycle:          75, Read Hit  , Address: 00000030, Read Data : eeeeffff
Cycle:          78, Write Hit , Address: 00000030, Write Data: ffeeeeff
Cycle:          79, Read Hit  , Address: 00000034, Read Data : ccccdddd
Cycle:          82, Write Hit , Address: 00000034, Write Data: ffccccdd
Cycle:          83, Read Hit  , Address: 00000038, Read Data : aaaabbbb
Cycle:          86, Write Hit , Address: 00000038, Write Data: ffaaaabb
Cycle:          87, Read Hit  , Address: 0000003c, Read Data : 88889999
Cycle:          90, Write Hit , Address: 0000003c, Write Data: ff888899
Cycle:          91, Read Miss , Address: 00000040, Read Data : 11110000
Cycle:         106, Write Hit , Address: 00000040, Write Data: ffecfaec
Cycle:         107, Read Hit  , Address: 00000044, Read Data : ecfaecfa
Cycle:         110, Write Hit , Address: 00000044, Write Data: ffecfaec
Cycle:         111, Read Hit  , Address: 00000048, Read Data : ecfaecfa
Cycle:         114, Write Hit , Address: 00000048, Write Data: ffecfaec
Cycle:         115, Read Hit  , Address: 0000004c, Read Data : ecfaecfa
Cycle:         118, Write Hit , Address: 0000004c, Write Data: ffecfaec
Cycle:         119, Read Hit  , Address: 00000050, Read Data : ecfaecfa
Cycle:         122, Write Hit , Address: 00000050, Write Data: ffecfaec
Cycle:         123, Read Hit  , Address: 00000054, Read Data : ecfaecfa
Cycle:         126, Write Hit , Address: 00000054, Write Data: ffecfaec
Cycle:         127, Read Hit  , Address: 00000058, Read Data : ecfaecfa
Cycle:         130, Write Hit , Address: 00000058, Write Data: ffecfaec
Cycle:         131, Read Hit  , Address: 0000005c, Read Data : ecfaecfa
Cycle:         134, Write Hit , Address: 0000005c, Write Data: ffecfaec
