Cycle:           3, Read Miss , Address: 00000000, Read Data : xxxxxxxx
Cycle:          16, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          17, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:          18, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:          19, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:          20, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:          21, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:          22, Read Hit  , Address: 0000001c, Read Data : 00001111
Cycle:          23, Read Miss , Address: 00000400, Read Data : eeeeffff
Cycle:          36, Read Hit  , Address: 00000404, Read Data : c00cd00d
Cycle:          37, Read Hit  , Address: 00000408, Read Data : a00ab00b
Cycle:          38, Read Hit  , Address: 0000040c, Read Data : 80089009
Cycle:          39, Read Hit  , Address: 00000410, Read Data : 60067007
Cycle:          40, Read Hit  , Address: 00000414, Read Data : 40045005
Cycle:          41, Read Hit  , Address: 00000418, Read Data : 20023003
Cycle:          42, Read Hit  , Address: 0000041c, Read Data : 00001001
Cycle:          43, Read Hit  , Address: 00000000, Read Data : eeeeffff
Cycle:          44, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          45, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:          46, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:          47, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:          48, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:          49, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:          50, Read Hit  , Address: 0000001c, Read Data : 00001111
